"name","location.country"
"Russell Brand","United Kingdom"
"Russell Crowe","Australia"
"Russell Garcia","United States"
"Russell Malone","United States"
"Rush","Canada"
"Sandy Dillon","United States"
"Sandy Marton","Madrid"
"Sandy Denny","United Kingdom"
"Sandy Nelson","United States"
"Sandy Mouche","Sweden"
"Sandy Posey","United States"
"Sandy Wagner","Germany"
"Sandy Stewart","United States"
"Sanford Clark","United States"
"Sangre Azul","Spain"
"Sangre Y Tierra","Holyoke"
"Sangtraït","Catalunya"
"Sangue Misto","Italy"
"Sanguis","Austria"
"Sanguis Et Cinis","Austria"
"Sanjosex","Girona"
"Roger Clyne","United States"
"Roger Cicero","Germany"
"Roger Clyne & The Peacemakers","United States"
"Roger Cook","United Kingdom"
"Roger Eno","United Kingdom"
"Roger Creager","United States"
"Roger Daltrey","United Kingdom"
"Roger Hodgson","Nevada City"
"Russell Hitchcock","Australia"
"Russell Moore & IIIrd Tyme Out","United States"
"Russell Simins","United States"
"Russell Morris","Australia"
"Russell Mills","United Kingdom"
"Russian Circles","United States"
"Ruste Juxx","Brooklyn"
"Russell Watson","United Kingdom"
"Russian Red Army Choir","Russia"
"Russian Red","Spain"
"Rusty Bryant","United States"
"Rusty","Canada"
"Rustic Overtones","United States"
"Rusty Cage","Gainesville"
"Rusty Kershaw","United States"
"Rusted Root","United States"
"Sanne Salomonsen","Denmark"
"Sanna Nielsen","Sweden"
"Sanseverino","France"
"Sans Pression","Quebec"
"Santabarbara","Spain"
"Santa Esmeralda","France"
"Santa Cruz","Finland"
"Santa Sangre","Italy"
"Santa Hates You","Germany"
"Rusty Draper","United States"
"Rusty Santos","Canada"
"Rusty Wier","United States"
"Ruth B","Canada"
"Ruth Brown","United States"
"Ruth Lorenzo","Spain"
"Ruth Etting","United States"
"Ruth Jacott","Netherlands"
"Ruth Grant","Sydney"
"Ruth","United States"
"Ruth Moody","Canada"
"Ruth Ruth","United States"
"Ruthie Henshall","United Kingdom"
"Ruthless Rap Assassins","United Kingdom"
"Roger Glover","United Kingdom"
"Roger Joseph Manning, Jr.","United States"
"Roger Miller","United States"
"Roger Miret","United States"
"Roger Rudel","France"
"Roger Nichols","United States"
"Roger Pontare","Sweden"
"Roger Sanchez","United States"
"Roger Miret And The Disasters","United States"
"Roger McGuinn","United States"
"Roger Shah","Germany"
"Roger Williams","United States"
"Roger Troutman","United States"
"Roger Taylor","United Kingdom"
"Rogers","Germany"
"Roger Waters","United Kingdom"
"Santaflow","Spain"
"Santa Sabina","Mexico"
"Santi","Italy"
"Santiago Feliú","Cuba"
"Santiago Cruz","Colombia"
"Santiano","Germany"
"Santana","United States"
"Ruudolf","Finland"
"Ruthie Foster","United States"
"Rvivr","United States"
"Ry Cuming","Australia"
"Rx Bandits","United States"
"Ry Cooder","United States"
"Santigo Cruz","Colombia"
"Santigold","United States"
"Santo & Johnny","United States"
"Santuario","Spain"
"Santullo","Uruguay"
"Sanz","Spain"
"Saor","Scotland"
"Saori@destiny","Japan"
"Saosin","United States"
"Sapphire Elia","United Kingdom"
"Sapthuran","United States"
"Sara (DE)","Germany"
"Sara","Finland"
"Sara Bareilles","United States"
"Rogue Traders","Australia"
"Rogue Wave","United States"
"Roger Whittaker","United Kingdom"
"Ry X","Australia"
"Ryan Belhsen","Morocco"
"Ryan Adams","United States"
"Ryan Davis","Berlin"
"Ryan Cabrera","United States"
"Roine Stolt","Sweden"
"Rohff","France"
"Sara Craig","Canada"
"Sara Evans","United States"
"Sara Haze","United States"
"Sara Gazarek","United States"
"Sara Jorge","United Kingdom"
"Sara Martin","United States"
"Sara Hickman","United States"
"Sara Groves","United States"
"Sara Jackson-Holman","United States"
"Sara Melson","United States"
"Sara Löfgren","Sweden"
"Sara Montiel","Spain"
"Sara Lov","United States"
"Rojo","Mexico"
"Roko","Germany"
"Rokia Traoré","Mali"
"Roland Cedermark","Sweden"
"Roland Cazimero","United States"
"Roland Clark","United States"
"Roland Gerbeau","France"
"Roland Kirk Quartet","United States"
"Roland Grapow","Germany"
"Roland Ohmer","Germany"
"Roland Orzabal","Los Angeles"
"Roland Kaiser","Germany"
"Roland Stone","United States"
"Roland Shaw","United Kingdom"
"Roky Erickson","United States"
"Rollergirl","Germany"
"Sara Noxx","Germany"
"Sara Quin","Canada"
"Sara Schiralli","United Kingdom"
"Sara Storer","Australia"
"Sara Watkins","United States"
"Saragossa Band","Germany"
"Sara Tavares","Portugal"
"Sara Zacharias","Sweden"
"Sara Paxton","United States"
"Sarah (NL)","Netherlands"
"Sarah 'n' Tormy","Belgium"
"Sarah Blackwood","Canada"
"Sarah Bettens","Belgium"
"Sarabeth Tucek","United States"
"Sarah Boréo","France"
"Sarah Borges","United States"
"Sarah Blasko","Australia"
"Ryan Dolan","Ireland"
"Ryan Farish","United States"
"Ryan Follese","United States"
"Ryan Flanigan","United States"
"Ryan Ferguson","United States"
"Ryan Gosling","Canada"
"Ryan Hemsworth","Canada"
"Ryan Horne","United States"
"Ryan Leslie","United States"
"Roll Deep","United Kingdom"
"Rolf Harris","Australia"
"Rolly","Japan"
"Rolf Zuckowski","Germany"
"Rolo Tomassi","United Kingdom"
"Rollo & King","Denmark"
"Roma Pafos","Russia"
"Romak & The Space Pirates","United States"
"Romain Humeau","France"
"Roman Candle","United States"
"Roman Lob","Germany"
"Roman Kostrzewski","Poland"
"Roman Flügel","Germany"
"Ryan Malcolm","Canada"
"Ryan Paris","Mainz"
"Ryan O'Shaughnessy","United Kingdom"
"Ryan Sheridan","Ireland"
"Ryan Shaw","United States"
"Ryan Shupe & The Rubberband","United States"
"Ryan Starr","California"
"Ryan Star","United States"
"Ryan Tedder","United States"
"Ryan Toby","United States"
"Ryan Tyler","United States"
"Sarah Catherine Brooks","United States"
"Sarah Buxton","United States"
"Sarah Brightman","United Kingdom"
"Sarah Dawn Finer","Sweden"
"Sarah Cracknell","United Kingdom"
"Sarah Connor","Germany"
"Rollins Band","United States"
"Romance On A Rocketship","United States"
"Romane Serda","France"
"Romantica","United States"
"Romantic Mode","Japan"
"Rome","Luxembourg"
"Romeo","United States"
"RyanDan","Canada"
"Ryan's Hope","United States"
"Rydah J. Klyde","United States"
"Rye Coalition","United States"
"Rydell","Canada"
"Ryker's","Kassel"
"Rye Rye","United States"
"Rymes With Orange","Canada"
"Ryn Weaver","United States"
"Ryo Kawasaki","Japan"
"Ryo Kunihiko","Japan"
"Ryo Okumoto","California"
"Rythem","Japan"
"Ryu☆","Japan"
"Ryszard Rynkowski","Poland"
"Rytmihäiriö","Finland"
"Rádio Macau","Portugal"
"Sarah Darling","United States"
"Sarah Dougher","Portland"
"Sarah Elizabeth Foster","United States"
"Sarah Geronimo","Philippines"
"Sarah Jane Morris","United Kingdom"
"Sarah Harmer","Canada"
"Sarah Fimm","United States"
"Sarah Jaffe","United States"
"Sarah Hudson","United States"
"Sarah Jezebel Deva","United Kingdom"
"Sarah Jessica Parker","United States"
"Sarah Jones","United States"
"Romero Lubambo","Brazil"
"Romeo Santos","United States"
"Romina Power","United States"
"Romowe Rikoito","Russia"
"Romeo Void","United States"
"Ron Artest","United States"
"Ron Carroll","United States"
"Ron","Italy"
"RZA","United States"
"Räserbajs","Sweden"
"Sarah Kelly","United States"
"Sarah McLeod","Australia"
"Sarah Jarosz","United States"
"Sarah Michelle Gellar","United States"
"Sarah McLachlan","Canada"
"Sarah Masen","United States"
"Sarah Polley","Canada"
"Sarah Siskind","Nashville"
"Sarah Silverman","United States"
"Sarah Taylor","Australia"
"Sarah Slean","Canada"
"Ron Carter","United States"
"Ron Browz","United States"
"Rompeprop","Netherlands"
"Ron Block","United States"
"Ron Goodwin","United Kingdom"
"Ron Hawkins","Canada"
"Ron Clutch","United States"
"Río Roma","Mexico"
"Ráfaga","Argentina"
"Róisín Murphy","Ireland"
"Róże Europy","Poland"
"Rödelheim Hartreim Projekt","Germany"
"Rökkurró","Iceland"
"The Jubalaires","United States"
"Rūta Ščiogolevaitė","Lithuania"
"The Riverboat Gamblers","Austin"
"Röyksopp","Norway"
"RÜFÜS","Australia"
"S'Express","United Kingdom"
"S Club 7","United Kingdom"
"S-Tone Inc.","Italy"
"S","Seattle"
"S-Crew","Paris"
"S Club 8","United Kingdom"
"S. Carey","United States"
"S.C.A.L.P.","Russia"
"S.E.S.","South Korea"
"Sarah White","United States"
"Sarah Whatmore","United Kingdom"
"Sarah Vaughan","United States"
"Sarcasm","Slovenia"
"Sarai","United States"
"Sarajane","Brazil"
"Saraya","United States"
"Saratoga","Spain"
"Sarcophagus","United States"
"Sarcófago","Brazil"
"Sarge","United States"
"Sargeist","Finland"
"Sarek","Sweden"
"Sarina Paris","Canada"
"Sarmalele Reci","Romania"
"Sascha Braemer","Germany"
"Sascha Funke","Germany"
"Sascha Dupont","Denmark"
"Sash!","Germany"
"Sasha","Germany"
"Richard Fleeshman","United Kingdom"
"Scott Weiland","United States"
"Scott Walker","United States"
"Scott Wesley Brown","United States"
"Scott Wilson","Canada"
"Scottie Haskell","United States"
"Scotty & Bill","United States"
"Scotty Moore","United States"
"Scotty Emerick","United States"
"Scotty McCreery","United States"
"Scourge","Brazil"
"Scout Niblett","United Kingdom"
"Scouting For Girls","United Kingdom"
"Scrabbel","United States"
"Scraps Of Tape","Sweden"
"Scram Jones","United States"
"Scratch","United States"
"Scrapper Blackwell","United States"
"Scratch21","England"
"Scratch Massive","France"
"Scratch Acid","United States"
"Scrawl","United States"
"Scratching Post","Canada"
"Scream","United States"
"Screamin' Cheetah Wheelies","United States"
"S.F.A.","United States"
"S.H.E","Taiwan"
"S.J. Tucker","United States"
"S.L.A.B.","United Kingdom"
"Sascha Konietzko","Germany"
"Sasha Dobson","United States"
"Sasha Lazard","United States"
"Sasha Keable","United Kingdom"
"Sasha Lopez","Moldova"
"Saskatchewan","United States"
"Sasha Sokol","Mexico"
"Sass Jordan","Canada"
"Sat LArtificier","France"
"Satan On Fire","United States"
"Satan","United Kingdom"
"Satanic Slaughter","Sweden"
"Satarial","Russia"
"Satans Penguins","Sweden"
"Satanic Warmaster","Finland"
"Screamfeeder","Australia"
"Scream Silence","Germany"
"Screaming Blue Messiahs","United Kingdom"
"Screamin' Jay Hawkins","United States"
"Screaming Females","United States"
"Screaming Trees","United States"
"Scred Connexion","France"
"Satellite","Poland"
"Satanic Surfers","Sweden"
"Satellite Stories","Finland"
"Satellite Soul","United States"
"Satariel","Sweden"
"Satellite Party","United States"
"Satellites","United Kingdom"
"Sator","Sweden"
"Satisfiers","United States"
"Satisfact","United States"
"Sathanas","United States"
"Satoshi Tomiie","Japan"
"Screw 32","United States"
"Screen Prints","United Kingdom"
"Screeching Weasel","United States"
"Screwface","United Kingdom"
"Screw Heads","United States"
"Screwed Up Click","United States"
"S.O.A.P.","Denmark"
"S.O.B.","Japan"
"S.P. Balasubrahmanyam","India"
"S.P.O.C.K","Sweden"
"S.P.O.R.T.","Germany"
"S.T.R.E.E.T.S.","Vancouver"
"S.T.U.N.","United States"
"S.Y.P.H.","Germany"
"Sa & Guarabyra","Brazil"
"S3RL","Australia"
"Saafir","United States"
"Saalschutz","Switzerland"
"Satyrian","Netherlands"
"Saturday Looks Good To Me","United States"
"Saturnus","Denmark"
"Sau","Catalunya"
"Satyricon","Norway"
"Sauce Money","United States"
"Saucy Monky","United States"
"Scrugg","United Kingdom"
"Scroobius Pip","Stanford-le-Hope"
"Scritti Politti","United Kingdom"
"Scum","United Kingdom"
"Scumbucket","Germany"
"Scuttle","United Kingdom"
"Scycs","Germany"
"Scud Mountain Boys","United States"
"Saukrates","Canada"
"Sauna Youth","London"
"Saulius Mykolaitis","Lithuania"
"Saul Williams","United States"
"Saule","Belgium"
"Saurom","Spain"
"Saba","Somalia"
"Saattue","Finland"
"Sabac","United States"
"Sabatum Quartet","Italy"
"Sabbat (UK)","Nottingham"
"Sabbat","Japan"
"Sabaton","Sweden"
"Sabhankra","Istanbul"
"Scum Of The Earth","United States"
"Scythe","Germany"
"Scythe (DE)","Germany"
"SE7EN","South Korea"
"SDP","Germany"
"Se:Sa","Hamburg"
"Sea Level","United States"
"Sea + Air","Germany"
"Sea Of Green","Canada"
"Sea Of Desperation","Russia"
"Saurus","Finland"
"Sauti Sol","Kenya"
"Savage","New Zealand"
"Savage (IT)","Italy"
"Savage Garden","Australia"
"Savage Grace","United States"
"Sava","Germany"
"Savages","United Kingdom"
"Savage Circus","Germany"
"Savage Genius","Japan"
"Savannah Outen","United States"
"Savant","Hammerfest"
"Savatage","United States"
"Sabbath Assembly","United States"
"Sabina Babayeva","Azerbaijan"
"Sabina Ddumba","Sweden"
"Sabotage","Brazil"
"Sabine Paturel","France"
"Sabi","Japan"
"Saboten","Japan"
"Sabrina","Italy"
"Sabrepulse","United Kingdom"
"Sabrina (PT)","Portugal"
"Sabrina (PH)","Philippines"
"Sabrina Bryan","United States"
"Sabrina Carpenter","United States"
"Sabrina Johnston","Germany"
"Sabrina Setlur","Germany"
"Sabrina Sabrok","Argentina"
"Sabrina Starke","Netherlands"
"Sabwarfare","United States"
"Seabear","Iceland"
"Sea Wolf","United States"
"Seabound","Germany"
"Seachange","United Kingdom"
"Seagram","Oakland"
"Seagull","Melbourne"
"Seafood","United Kingdom"
"Seagull Screaming Kiss Her Kiss Her","Nishitōkyō"
"Seagulls Insane And Swans Deceased Mining Out The Void","Poland"
"Seahaven","United States"
"Sacha Baron Cohen","United Kingdom"
"Saccharine Trust","United States"
"Sacha Distel","France"
"Sackville","Canada"
"Sacre Scuole","Italy"
"Sacramentum","Sweden"
"Savage Republic","United States"
"Save Ferris","United States"
"Save The Clock Tower","Australia"
"Saverio Grandi","Italy"
"Saving Aimee","United Kingdom"
"Saving Abel","United States"
"Saves The Day","United States"
"Seamus Haji","United Kingdom"
"Seal","Los Angeles"
"Seam","United States"
"Seals & Crofts","United States"
"Sean Banan","Sweden"
"Seamo","Japan"
"Sean Delaney","United States"
"Sean Finn","Germany"
"Sean Garrett","United States"
"Sean Fournier","United States"
"Saving Grace","New Zealand"
"Saving Jane","United States"
"Savoy","Norway"
"Saviour Machine","United States"
"Sawt-El-Atlas","France"
"Saw","Germany"
"Savoir Adore","United States"
"Savoy Brown","United Kingdom"
"Sax Gordon","United States"
"Sawyer Brown","United States"
"Sean Jones","United States"
"Sean Kelly","United States"
"Sean Kingston","Jamaica"
"Sean Hayes","United States"
"Sean Lennon","United States"
"Sean McConnell","United States"
"Sean Na Na","United States"
"Sean Nelson","United States"
"Sean Paul","Jamaica"
"Sacred Mother Tongue","United Kingdom"
"Sacred Oath","United States"
"Sacred Reich","United States"
"Sacred Rite","United States"
"Sacrifice","Canada"
"Sacred Steel","Germany"
"Sacrilege","Sweden"
"Sacrificium","Germany"
"Sacred Warrior","United States"
"Sacrist","Czech Republic"
"Sacrilege (UK)","United Kingdom"
"Sean Reinert","United States"
"Sean Smith","United States"
"Sean T","United States"
"Sean Strange","United States"
"Sean Price","United States"
"Sean Watkins","United States"
"Seany B","Australia"
"Sear","France"
"Seapony","United States"
"Seance","Sweden"
"Search","Malaysia"
"Sear Bliss","Hungary"
"Season To Risk","United States"
"Seasick Steve","United States"
"Seatrain","United States"
"Seay","United States"
"Seaweed","United States"
"Sebalter","Switzerland"
"Sebastian","Denmark"
"SebastiAn","France"
"Sebadoh","United States"
"Sad Alice Said","Ukraine"
"Sad Café","United Kingdom"
"Sad Theory","Brazil"
"Sadahzinia","Greece"
"Sadek","France"
"Sadat X","United States"
"Sad Lovers And Giants","United Kingdom"
"Sade","United Kingdom"
"Sadetanssi","Finland"
"Saxon","United Kingdom"
"Say Anything","United States"
"Say Hi","Seattle"
"Sadie","Japan"
"SadiQ","Germany"
"Sadie Ama","United Kingdom"
"Sadist","Italy"
"Sadistic Intent","United States"
"Sadness","Switzerland"
"Sadus","United States"
"Sads","Japan"
"Saetia","United States"
"Sebastian Bach","Canada"
"Sebastian Hämer","Germany"
"Sebastian Ingrosso","Sweden"
"Sebastian Deyle","Germany"
"Sebastian Karlsson","Sweden"
"Sebastian Sturm","Germany"
"Sebastian23","Germany"
"Sebastien Grainger & The Mountains","Canada"
"Sebastien Grainger","Canada"
"Secession","United Kingdom"
"Second Person","United Kingdom"
"Second Decay","Germany"
"Saya","Japan"
"Saybia","Denmark"
"Saykoji","Indonesia"
"SBB","Poland"
"Sayyadina","Sweden"
"Saïan Supa Crew","France"
"SayWeCanFly","Ontario"
"Saúl Hernández","Mexico"
"SBTRKT","United Kingdom"
"Saez","France"
"SafetySuit","United States"
"Saffron Hill","United Kingdom"
"Safety Scissors","United States"
"Safi & Spreej","Belgium"
"Saffire - The Uppity Blues Women","United States"
"Safia","Australia"
"Safire","Puerto Rico"
"Safri Duo","Denmark"
"Safura","Azerbaijan"
"Saga (SE)","Sweden"
"Second Coming","United States"
"Second Skin","United States"
"Second Thief","United States"
"Secondhand Serenade","United States"
"Secrecy","Portugal"
"Secret","Belgium"
"Secret Affair","United Kingdom"
"Secos & Molhados","Brazil"
"Secret Army","Barcelona"
"Secret Chiefs 3","San Francisco"
"Secret Garden","Norway"
"Secret Discovery","Germany"
"Scald","United Kingdom"
"Scala & Kolacny Brothers","Belgium"
"Scale The Summit","Houston"
"Scalene","Brazil"
"Scandal","Japan"
"Scandal'us","Australia"
"Scandal (US)","United States"
"Scandy","Atlanta"
"Scandinavian Music Group","Finland"
"Scapegoat","United States"
"Scanners","United States"
"Secret Lives Of The Freemasons","United States"
"Secret Shine","United Kingdom"
"Secret Service","Sweden"
"Secretions","United States"
"Secrets","San Diego"
"Secret Sphere","Italy"
"Secrets Of The Third Planet","Russia"
"Secrets Of The Moon","Germany"
"Section 8","Sweden"
"Sed Non Satiata","France"
"Sedative","France"
"Seduced","Belgium"
"Seduction","United States"
"See Colin Slash","United States"
"Saga","Canada"
"Sage The Gemini","United States"
"Sage Francis","United States"
"Scapegoat (US-MA)","United States"
"Scar","Malta"
"Scar Symmetry","Sweden"
"Scapegoat Wax","United States"
"Scanner","Germany"
"Scaramanga","United States"
"Scar Tissue","United States"
"Scarce","United States"
"See Spot Run","Canada"
"See You Next Tuesday","United States"
"Seeded Crown","United States"
"Seed To Tree","Luxembourg"
"See-Saw","Japan"
"Seeed","Germany"
"Seeker Lover Keeper","Australia"
"Seelenluft","Switzerland"
"Seelenkrank","Germany"
"Seelenzorn","Germany"
"Scaries","United States"
"Scared Weird Little Guys","Australia"
"Scared Of Chaka","United States"
"Scarface","Houston"
"Scarlet","United Kingdom"
"Scariot","Norway"
"Sahara","Germany"
"Sagrado Coração Da Terra","Brazil"
"Sahara Smith","United States"
"Sagopa Kajmer","Turkey"
"Sahg","Bergen"
"Sahara Hotnights","Sweden"
"Sahlene","Sweden"
"Scarlet Sins","Canada"
"Scarlet Youth","Finland"
"Scarlett Johansson","United States"
"Scarpoint","Sweden"
"Scarlett Jane","Canada"
"Scarling.","United States"
"Scarrots","Belgium"
"Scars Of Chaos","France"
"Scars On Broadway","Los Angeles"
"Scars Of Tomorrow","United States"
"Saidian","Germany"
"Said The Whale","Canada"
"Seemless","United States"
"SeeYa","South Korea"
"Seether","South Africa"
"Seff Tha Gaffla","United States"
"Sefyu","France"
"Sefler","United States"
"Segismundo Toxicómano","Spain"
"Segression","Australia"
"Seguridad Social","Spain"
"Seiko","Japan"
"Seigmen","Norway"
"Scarub","United States"
"Scarve","France"
"Scary Kids Scaring Kids","United States"
"Scary Bitches","United Kingdom"
"Scatman Crothers","United States"
"Scatman John","United States"
"Scatter The Ashes","United States"
"Scatterbrain","Denmark"
"Scaterd Few","United States"
"Scenario Rock","France"
"Seinabo Sey","Sweden"
"Seis Peatones","Colombia"
"Seks Bomba","United States"
"Seize The Day","United Kingdom"
"Sekiden","Australia"
"Seksendört","Turkey"
"Sekuoia","Denmark"
"Sekshun 8","Norfolk"
"Selda Bağcan","Turkey"
"Selah Sue","Belgium"
"Selah","United States"
"Seldom","United States"
"Select Start","Tampa"
"Scelerata","Brazil"
"Scavenger Hunt","United States"
"Scattered Trees","United States"
"Scenes From A Movie","United States"
"Schaft","Japan"
"Scent Of Flesh","Finland"
"Sceptic","Poland"
"Schattenvald","Bayern"
"Schandmaul","Germany"
"Schagai","Germany"
"Schallfaktor","Germany"
"Schatzi","United States"
"Scherrie Payne","United States"
"Schiffkowitz","Austria"
"Schiller","Germany"
"Schelmish","Germany"
"Schizma","Bydgoszcz"
"Selena Gomez","United States"
"Selena Gomez & The Scene","United States"
"Sel","Lithuania"
"Self Against City","United States"
"Self Delusion","Spain"
"Self Scientific","United States"
"Selfish","Finland"
"Selfkill","Taipei"
"Self","United States"
"Schleim-Keim","Germany"
"Schlong","United States"
"Schlafes Bruder","Germany"
"Schleprock","United States"
"Schmitti","Germany"
"Schneeweiss & Rosenrot","Germany"
"Schmetterlinge","Austria"
"Schneider TM","Germany"
"Schneewittchen (Folk)","Germany"
"Schneewittchen","Germany"
"Schnittke","Soviet Union"
"Schnipo Schranke","Germany"
"Schnell Fenster","New Zealand"
"Schobert Schulz","Germany"
"Schobert & Black","Germany"
"Selena","United States"
"Selfmindead","Sweden"
"Selvmord","Denmark"
"Semblant","Brazil"
"Semino Rossi","Argentina"
"Semiramis","Italy"
"Semisonic","United States"
"Selig","Germany"
"Senap","Sweden"
"Sen Dog","Los Angeles"
"Senator And The New Republic","United States"
"Semtex","United Kingdom"
"Send More Paramedics","United Kingdom"
"Sengir","Belgium"
"Sensato","United States"
"Senore Matze Rossi","Germany"
"Sensato Del Patio","United States"
"Senseless Things","United Kingdom"
"Senseless","Sweden"
"Senser","United Kingdom"
"Sense Field","United States"
"Senses Fail","United States"
"Sentenced","Finland"
"Sentimiento Muerto","Venezuela"
"Sent By Ravens","United States"
"Sentidos Opuestos","Mexico"
"Senza Nome","Italy"
"Schock","Germany"
"School Food Punishment","Japan"
"School Gyrls","United States"
"School Is Cool","Belgium"
"School Of Fish","United States"
"ScHoolboy Q","Los Angeles"
"School Of Seven Bells","United States"
"Sepalot","Germany"
"Seona Dancing","United Kingdom"
"Separation","Sweden"
"Septembre","United Kingdom"
"September Malevolence","Sweden"
"September","Sweden"
"Sequal","United States"
"Sepultura","Brazil"
"Sequence","United States"
"Schoolhouse Rock","United States"
"Schoolly D","United States"
"Schoolyard Heroes","United States"
"Schooner","United States"
"Schroeder Roadshow","Germany"
"Schtum","United Kingdom"
"Schuhmacher","Plymouth"
"Schulz","Canada"
"Schrottgrenze","Germany"
"Schwarz Stein","Japan"
"Schusterjungs","Germany"
"Schuyler Fisk","United States"
"Schwarzblut","Netherlands"
"Schwarzer Engel","Germany"
"Sera Cahoone","United States"
"Serafin","United Kingdom"
"Septic Flesh","Athens"
"Serani","Jamaica"
"Seraphim","Taiwan"
"Serena Abrami","Italy"
"Serdar Ortaç","Turkey"
"Sere","Finland"
"Schwefelgelb","Germany"
"Schäfer Heinrich","Germany"
"Schürzenjäger","Austria"
"Schäffer The Darklord","United States"
"Schöngeist","Germany"
"Schönheitsfehler","Austria"
"Scialpi","Italy"
"Scipio","United States"
"Scientists","Australia"
"Science Of Sleep","Germany"
"Scisma","Italy"
"Scissorfight","United States"
"Schweisser","Germany"
"Scissor Sisters","United States"
"Scissors For Lefty","United States"
"Scooch","United Kingdom"
"Scooter","Germany"
"Scooter Lee","United States"
"Scorngrain","Finland"
"Scotch","Italy"
"Scott & Brendo","United States"
"Seremonia","Finland"
"Serena Rossi","Italy"
"Serena-Maneesh","Norway"
"Serenity (UK)","United Kingdom"
"Serge Devant","Russia"
"Serenity","Austria"
"Serena Ryder","Canada"
"Serge Fiori","Quebec"
"Serge Gainsbourg","France"
"Shaye","Canada"
"She & Him","United States"
"She","Sweden"
"She Moves","United States"
"She Keeps Bees","United States"
"Shea Fisher","Australia"
"She Wants Revenge","United States"
"SHeavy","Canada"
"Scott Bakula","United States"
"Scott Brown","United Kingdom"
"Scott Blackwell","United States"
"Scott Cooley","United States"
"Scott Dunbar","Mississippi"
"Scott English","United States"
"Scott Dreier","United States"
"Scorpions","Germany"
"Scott Fitzgerald","United Kingdom"
"Scott Grimes","United States"
"Scott H. Biram","United States"
"Scott Joplin","United States"
"Scott Hardkiss","United States"
"Scott Henderson","United States"
"Serge Lama","France"
"Sergent Garcia","France"
"Sergio Caputo","Italy"
"Sergio Cammariere","Italy"
"Serge Reggiani","France"
"Sergio Franchi","Italy"
"Sergio Denis","Argentina"
"Shearwater","United States"
"Shebang","Sweden"
"Sheb Wooley","United States"
"Shed Seven","United Kingdom"
"SHeDAISY","United States"
"Sheep On Drugs","United Kingdom"
"Sheena Easton","United Kingdom"
"Scott Kreitzer","United States"
"Scott Kelly","United States"
"Scott LaFaro","United States"
"Scott Krippayne","United States"
"Scott Matthew","New York"
"Scott McCaughey","United States"
"Scott McKenzie","United States"
"Scott Matthews","United Kingdom"
"Scott Miller","United States"
"Scott Stapp","United States"
"Sergio Dalma","Spain"
"Sergio Vargas","Dominican Republic"
"Sergio Rivero","Spain"
"Serhat","Turkey"
"Sergio Endrigo","Italy"
"Sergio Y Estíbaliz","Spain"
"Sergio Vega","Mexico"
"Scott Storch","United States"
"Scott Stewart","United Kingdom"
"Sheek Louch","United States"
"Shefali Alvares","India"
"Sheer Terror","New York"
"Sheila Chandra","United Kingdom"
"Sheila","France"
"Sheila E.","United States"
"Sheila Jordan","United States"
"Sheila Walsh","United Kingdom"
"Sheila Majid","Malaysia"
"Serianna","United States"
"Serious","United States"
"Serial Joe","Canada"
"Serj Tankian","Los Angeles"
"Serosia","Dallas"
"Sero.Overdose","Germany"
"Serotonin","United Kingdom"
"Sertab Erener","Turkey"
"Serum 114","Germany"
"Servando Y Florentino","Venezuela"
"Ses","South Korea"
"Sesto Sento","Israel"
"Serú Girán","Argentina"
"Sestry Steinovy","Czech Republic"
"Set It Straight","United States"
"Set Your Goals","United States"
"Shela","Japan"
"Shel Silverstein","United States"
"Sheila On 7","Indonesia"
"Shelby Flint","United States"
"Sheldon Reynolds","United States"
"Shelby Lynne","United States"
"Shellac","United States"
"Shelley Nelson","United Kingdom"
"Shelley Duvall","United States"
"Shelley Fabares","United States"
"Shelley Harland","United Kingdom"
"Shelley Segal","Melbourne"
"Shelley Plimpton","United States"
"Shelly Fairchild","United States"
"Shelly Manne","United States"
"Shelley's Children","United Kingdom"
"Shelly Poole","United Kingdom"
"Shelly West","United States"
"Shelter","United States"
"Shelton Becton","United States"
"Shemekia Copeland","United States"
"Shenandoah","United States"
"Shep & The Limelites","United States"
"Sheppard","Brisbane"
"Seth","France"
"Seth Green","United States"
"Seth Gueko","France"
"Seth Lakeman","United Kingdom"
"Seth Swirsky","United States"
"Seth Sentry","Victoria"
"Seth MacFarlane","United States"
"Settle The Score","Germany"
"Setherial","Sweden"
"Seth Walker","United States"
"Sethian","Finland"
"Settlefish","Italy"
"Setä Koponen","Finland"
"Setä Tamu","Finland"
"Sev","United States"
"Seu Jorge","Brazil"
"Sevdaliza","Rotterdam"
"Seven","United States"
"Sevara Nazarkhan","Uzbekistan"
"Seven And The Sun","United States"
"Seven Day Jesus","United States"
"Seven Days Of Samsara","United States"
"Seven Dust","United States"
"Shemales From Outta Space Of Death","Germany"
"Sherbet","Japan"
"Sherie René Scott","United States"
"Sheriff","Canada"
"Sherine","Egypt"
"Shermanology","Netherlands"
"Sherman Edwards","United States"
"Sherpa","Spain"
"Sherry","Japan"
"Sherrié Austin","Australia"
"Sherry Winston","United States"
"Sheryl Deane","United Kingdom"
"Sherwood","France"
"SheSays","Austria"
"Sheryfa Luna","France"
"Sheryl Crow","United States"
"ShibayanRecords","Japan"
"Shields","United Kingdom"
"Shift K3Y","United Kingdom"
"Shikari","Netherlands"
"Shield Of Wings","United States"
"Shifty","United States"
"Shimoli","Sweden"
"Shihad","Wellington"
"Shindy","Germany"
"Seven Lions","United States"
